Dataset,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa
OPENJPA,RandomForest,No,No,0.899,0.841,0.984,0.840
OPENJPA,NaiveBayes,No,No,0.581,0.402,0.807,0.379
OPENJPA,Ibk,No,No,0.801,0.784,0.875,0.744
OPENJPA,RandomForest,Yes,No,0.877,0.827,0.978,0.817
OPENJPA,NaiveBayes,Yes,No,0.587,0.315,0.790,0.320
OPENJPA,Ibk,Yes,No,0.602,0.601,0.768,0.508
OPENJPA,RandomForest,No,Yes,0.853,0.894,0.984,0.842
OPENJPA,NaiveBayes,No,Yes,0.569,0.419,0.807,0.384
OPENJPA,Ibk,No,Yes,0.801,0.784,0.875,0.744
OPENJPA,RandomForest,Yes,Yes,0.823,0.885,0.978,0.817
OPENJPA,NaiveBayes,Yes,Yes,0.560,0.322,0.790,0.314
OPENJPA,Ibk,Yes,Yes,0.602,0.601,0.768,0.508
